dataset,variant,drop_rate,perturbation_seed,test_graphs,attack_graphs,reported_graphs,precision,recall,f1,mcc,auroc,average_precision,fit_calibration,perturbation,row_type,repetitions,precision_mean,recall_mean,f1_mean,f1_std,mcc_mean,auroc_mean,average_precision_mean
StreamSpot,normalized_structure_only,0.0,0.0,200.0,100.0,103.0,0.970873786407767,1.0,0.9852216748768472,0.9704367948586524,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.05,0.0,200.0,100.0,105.0,0.9523809523809524,1.0,0.975609756097561,0.9511897312113418,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.05,1.0,200.0,100.0,104.0,0.9615384615384616,1.0,0.9803921568627452,0.9607689228305228,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.05,2.0,200.0,100.0,105.0,0.9523809523809524,1.0,0.975609756097561,0.9511897312113418,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.05,3.0,200.0,100.0,105.0,0.9523809523809524,1.0,0.975609756097561,0.9511897312113418,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.05,4.0,200.0,100.0,107.0,0.9345794392523364,1.0,0.966183574879227,0.932286907826487,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.1,0.0,200.0,100.0,112.0,0.8928571428571429,1.0,0.9433962264150944,0.8864052604279183,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.1,1.0,200.0,100.0,111.0,0.9009009009009008,1.0,0.947867298578199,0.8954338623269738,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.1,2.0,200.0,100.0,112.0,0.8928571428571429,1.0,0.9433962264150944,0.8864052604279183,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.1,3.0,200.0,100.0,114.0,0.8771929824561403,1.0,0.9345794392523364,0.8685539504902852,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.1,4.0,200.0,100.0,107.0,0.9345794392523364,1.0,0.966183574879227,0.932286907826487,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.2,0.0,200.0,100.0,129.0,0.7751937984496124,1.0,0.8733624454148472,0.7418811204628575,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.2,1.0,200.0,100.0,132.0,0.7575757575757576,1.0,0.8620689655172413,0.7177405625652734,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.2,2.0,200.0,100.0,125.0,0.8,1.0,0.888888888888889,0.7745966692414834,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.2,3.0,200.0,100.0,122.0,0.819672131147541,1.0,0.9009009009009008,0.7995900589021114,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.2,4.0,200.0,100.0,130.0,0.7692307692307693,1.0,0.8695652173913044,0.7337993857053429,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.3,0.0,200.0,100.0,144.0,0.6944444444444444,1.0,0.819672131147541,0.6236095644623235,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.3,1.0,200.0,100.0,148.0,0.6756756756756757,1.0,0.8064516129032258,0.5927489783638191,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.3,2.0,200.0,100.0,144.0,0.6944444444444444,1.0,0.819672131147541,0.6236095644623235,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.3,3.0,200.0,100.0,145.0,0.6896551724137931,1.0,0.8163265306122449,0.6158817620514397,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.3,4.0,200.0,100.0,143.0,0.6993006993006993,1.0,0.823045267489712,0.6313488723371561,1.0,1.0,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
StreamSpot,normalized_structure_only,0.0,,,,,,,,,,,,,aggregate,1.0,0.970873786407767,1.0,0.9852216748768472,0.0,0.9704367948586524,1.0,1.0
StreamSpot,normalized_structure_only,0.05,,,,,,,,,,,,,aggregate,5.0,0.9506521515867308,1.0,0.974681000006931,0.0051819713927301,0.9493250048582068,1.0,1.0
StreamSpot,normalized_structure_only,0.1,,,,,,,,,,,,,aggregate,5.0,0.8996775216647327,1.0,0.9470845531079902,0.0117150619206561,0.8938170482999166,1.0,1.0
StreamSpot,normalized_structure_only,0.2,,,,,,,,,,,,,aggregate,5.0,0.7843344912807361,1.0,0.8789572836226366,0.0156914589308458,0.7535215593754137,1.0,1.0
StreamSpot,normalized_structure_only,0.3,,,,,,,,,,,,,aggregate,5.0,0.6907040872558114,1.0,0.8170335346600529,0.0063746026788733,0.6174397483354124,1.0,1.0
Unicorn-Wget,normalized_structure_only,0.0,0.0,75.0,50.0,47.0,0.9787234042553192,0.92,0.9484536082474226,0.8576492931439956,0.9768,0.9893655628018052,clean benign train/validation,label-agnostic independent binomial thinning of test count marginals,perturbation_repetition,,,,,,,,
